game_title,release_date,key_features,platforms,developer,publisher,url,scraped_at
Assassin's Creed Shadows,2026,"Discover the expansion ""Claws of Awaji""Travel to a new distinctive region - the island of Awaji - a place of mysterious beauty. Available now.Learn moreWatch the Trailer","PlayStation 5, Xbox Series X, PC, Nintendo Switch",Ubisoft,Ubisoft Entertainment,https://www.ubisoft.com/en-us/game/assassins-creed/shadows,2026-03-18T05:35:31.393935
Assassin's Creed Mirage,2022,"Valley of Memory - Available nowValley of Memory, a free major update, introduces the stunning new region of AlUla and features a new story arc for Basim. Explore a breathtaking landscape of deserts a","Xbox Series X, Xbox One, PC, Nintendo Switch",Ubisoft,Ubisoft Entertainment,https://www.ubisoft.com/en-us/game/assassins-creed/mirage,2026-03-18T05:35:35.327962
Available,Not Available,"Official Site. In Far Cry 6, play as a local Yaran and fight using over the top guerrilla tactics and weaponry to liberate your nation.  Available now on PS5, PS4, Xbox Series X, Xbox One, Stadia, and PC.","PlayStation 4, Xbox One, PC",Ubisoft,Ubisoft Entertainment,https://www.ubisoft.com/en-us/game/far-cry/far-cry-6,2026-03-18T05:35:39.243723
Highlight,2026,HighlightOPERATION SILENT HUNT BATTLE PASS - FROM MARCH 3RD  TO JUNE 1STComplete Multiplayer matches to earn Battle Pass Tokens and unlock tiles. Get the Premium Pass or the Membership for even more r,Not Available,Ubisoft,Ubisoft Entertainment,https://www.ubisoft.com/en-us/game/rainbow-six/siege,2026-03-18T05:35:43.924639
Watch Dogs LegionStandard Edition,29/10/2020,"Included with Ubisoft+. Compare Watch Dogs Legion Editions. Available on PC, PS5, PS4, Xbox Series X|S.","PlayStation 5, PlayStation 4, PC","Ubisoft Toronto




Release date","Ubisoft




Developer",https://www.ubisoft.com/en-us/game/watch-dogs/legion,2026-03-18T05:35:46.977768
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.ubisoft.com/en-us/game/tom-clancys-the-division/the-division-2,2026-03-18T05:35:53.219458
Tom Clancy's Ghost Recon BreakpointStandard Edition,04/10/2019,Ghost Recon Breakpoint - Standard Edition,"PlayStation 4, PC",Ubisoft Paris,"Ubisoft




Developer",https://www.ubisoft.com/en-us/game/ghost-recon/breakpoint,2026-03-18T05:35:57.159244
Immortals Fenyx RisingStandard Edition,03/12/2020,Immortals Fenyx Rising,"PlayStation 5, PlayStation 4, PC","Ubisoft Quebec




Release date","Ubisoft




Developer",https://www.ubisoft.com/en-us/game/immortals-fenyx-rising,2026-03-18T05:36:03.509839
XBOX GAME PASS,Not Available,"Official Site. Riders Republic is available now on PC, PS4, PS5, Xbox Series X, Xbox One, and Stadia.","PlayStation 5, PlayStation 4, Xbox Series X, Xbox One, PC, Stadia",Ubisoft,Ubisoft Entertainment,https://www.ubisoft.com/en-us/game/riders-republic,2026-03-18T05:36:10.235555
"FROM NOBODY TO THE MOST FEARSOME PIRATE KINGPINSet sail into the vibrant open world of Skull and Bones, a naval online action RPG where you rise to become the most fearsome pirate kingpin. Skull and Bones is on Ubisoft Connect, Epic Games, Steam, PlayStation 5, Xbox Series X|S.",Not Available,"Enter the perilous paradise of Skull and Bones™, as you overcome the odds and rise from an outcast to infamous pirate.","PlayStation 5, Xbox Series X, PC",Ubisoft,Ubisoft Entertainment,https://www.ubisoft.com/en-us/game/skull-and-bones,2026-03-18T05:36:15.382668
Prince of Persia The Lost Crown,Not Available,Prince of Persia The Lost CrownDash into a stylish and thrilling action-adventure platformer game set in a mythological Persian world where the boundaries of time and space are yours to manipulate.,"PC, Nintendo Switch",Ubisoft,Ubisoft Entertainment,https://www.ubisoft.com/en-us/game/prince-of-persia/the-lost-crown,2026-03-18T05:36:18.729171
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.ubisoft.com/en-us/game/anno-1800,2026-03-18T05:36:22.783769
